datetime,v1,v2,v1_roll,v2_roll,roll_corr
2025-08-01 07:30:30,4622947476.150001,10864.0,4622856257.798323,10849.933333333332,0.28732703766842066
2025-08-01 07:31:00,4622953031.168,10859.0,4622862269.5335,10850.744444444445,0.26901667288160713
2025-08-01 07:31:30,4622960861.0963335,10864.0,4622868408.147022,10851.822222222223,0.2522046088187105
2025-08-01 07:32:00,4622971275.3706665,10879.666666666666,4622874748.720567,10853.244444444446,0.28693471250009195
2025-08-01 07:32:30,4622983615.972,10907.666666666666,4622881336.379878,10855.7,0.36274555738132236
2025-08-01 07:33:00,4622995542.917,10904.333333333334,4622888131.404944,10857.77777777778,0.43336290757149365
2025-08-01 07:33:30,4623006240.452,10883.0,4622895134.216389,10858.955555555556,0.46417637637333214
2025-08-01 07:34:00,4623017936.065333,10895.333333333334,4622902403.003178,10861.233333333334,0.47572912161123965
2025-08-01 07:34:30,4623030201.735333,10900.333333333334,4622909943.481912,10864.1,0.47409345563967303
2025-08-01 07:35:00,4623040084.444667,10895.333333333334,4622917639.595522,10866.744444444446,0.45632095353745533
2025-08-01 07:35:30,4623049998.209333,10896.333333333334,4622925475.0548115,10868.144444444444,0.49333332776751004
2025-08-01 07:36:00,4623060161.512,10887.0,4622933428.729456,10868.144444444444,0.5941606364373664
2025-08-01 07:36:30,4623068909.286667,10873.666666666666,4622941408.350478,10867.77777777778,0.6498439957678548
2025-08-01 07:37:00,4623076856.885333,10874.333333333334,4622949389.242955,10867.955555555556,0.6589811231636783
2025-08-01 07:37:30,4623086179.244333,10884.333333333334,4622957426.561334,10868.877777777778,0.6622622574800485
2025-08-01 07:38:00,4623096589.996667,10881.333333333334,4622965554.3591,10869.87777777778,0.645047882096932
2025-08-01 07:38:30,4623107410.274333,10861.333333333334,4622973821.769489,10870.2,0.5646354853570376
2025-08-01 07:39:00,4623116640.222333,10847.333333333334,4622982190.42979,10869.677777777777,0.45740704576196767
2025-08-01 07:39:30,4623125961.991,10853.0,4622990660.624067,10869.188888888888,0.3912001363929482
2025-08-01 07:40:00,4623135085.794,10863.333333333334,4622999179.6774,10868.933333333332,0.371731034727995
2025-08-01 07:40:30,4623144596.116,10871.666666666666,4623007801.220111,10869.166666666666,0.3627564285509588
2025-08-01 07:41:00,4623152823.722667,10879.666666666666,4623016462.3624325,10869.955555555556,0.35461859733165096
2025-08-01 07:41:30,4623162489.909333,10886.666666666666,4623025213.706878,10871.122222222222,0.35105792347936743
2025-08-01 07:42:00,4623172718.013333,10891.0,4623034139.199911,10872.922222222223,0.325339888354754
2025-08-01 07:42:30,4623183357.390334,10888.666666666666,4623043221.859633,10874.344444444443,0.3010973393116958
2025-08-01 07:43:00,4623192054.672334,10891.666666666666,4623052361.194144,10875.266666666666,0.31709372245395945
2025-08-01 07:43:30,4623198772.660333,10893.666666666666,4623061501.837344,10876.58888888889,0.3095625053544502
2025-08-01 07:44:00,4623205645.490001,10873.333333333334,4623070676.979078,10877.766666666666,0.20356692360741302
2025-08-01 07:44:30,4623212184.023666,10859.666666666666,4623079885.789444,10878.622222222222,0.013821008755319945
2025-08-01 07:45:00,4623217697.265,10852.666666666666,4623089079.935011,10878.777777777777,-0.17918477863444562
2025-08-01 07:45:30,4623222765.327667,10849.333333333334,4623098256.240933,10878.28888888889,-0.31543599588749066
2025-08-01 07:46:00,4623228079.908667,10846.666666666666,4623107424.5322895,10877.877777777778,-0.4692911079964977
2025-08-01 07:46:30,4623233769.395667,10851.0,4623116521.4756,10877.444444444443,-0.5897301114554219
2025-08-01 07:47:00,4623239645.851001,10869.666666666666,4623125467.1582775,10877.111111111111,-0.614389543237677
2025-08-01 07:47:30,4623245781.450667,10867.666666666666,4623134206.007566,10875.77777777778,-0.5689288851006499
2025-08-01 07:48:00,4623254464.6953335,10879.666666666666,4623142836.733511,10874.955555555554,-0.4828302472944108
